state,city,county,season_begin,season_end,lodging_2015,m_ie_rate
GA,Augusta,Richmond,,,$91 ,51 
GA,Jekyll Island / Brunswick,Glynn,1-Oct,31-Oct,$148 ,56 
GA,Jekyll Island / Brunswick,Glynn,1-Nov,28-Feb,$110 ,56 
GA,Jekyll Island / Brunswick,Glynn,1-Mar,30-Sep,$148 ,56 
GA,Savannah,Chatham,,,$101 ,56 
IA,Cedar Rapids,Linn,,,$88 ,51 
IA,Dallas,Dallas,,,$114 ,51 
IA,Des Moines,Polk,,,$97 ,51 
ID,Bonner's Ferry / Sandpoint,Bonner / Boundary / Shoshone,1-Oct,30-Jun,$83 ,61 
ID,Bonner's Ferry / Sandpoint,Bonner / Boundary / Shoshone,1-Jul,31-Aug,$101 ,61 
ID,Bonner's Ferry / Sandpoint,Bonner / Boundary / Shoshone,1-Sep,30-Sep,$83 ,61 
ID,Coeur d'Alene,Kootenai,1-Oct,31-May,$85 ,61 
ID,Coeur d'Alene,Kootenai,1-Jun,31-Aug,$124 ,61 
ID,Coeur d'Alene,Kootenai,1-Sep,30-Sep,$85 ,61 
ID,Driggs / Idaho Falls,Bonneville / Fremont / Teton,,,$86 ,46 
ID,Sun Valley / Ketchum,Blaine / Elmore,,,$99 ,71 
IL,Bolingbrook / Romeoville / Lemont,Will,,,$90 ,51 
IL,Chicago,Cook / Lake,1-Oct,30-Nov,$194 ,71 
IL,Chicago,Cook / Lake,1-Dec,28-Feb,$132 ,71 
IL,Chicago,Cook / Lake,1-Mar,30-Apr,$159 ,71 
IL,Chicago,Cook / Lake,1-May,31-Aug,$192 ,71 
IL,Chicago,Cook / Lake,1-Sep,30-Sep,$194 ,71 
IL,O'Fallon / Fairview Heights / Collinsville,Bond / Calhoun / Clinton / Jersey / Macoupin / Madison / Monroe / St. Clair,,,$115 ,56 
IL,Oak Brook Terrace,Dupage,,,$103 ,61 
IL,Springfield ,Sangamon,,,$89 ,56 
IN,Bloomington ,Monroe,,,$104 ,56 
IN,Ft. Wayne,Allen,,,$88 ,56 
IN,Hammond / Munster / Merrillville,Lake,,,$96 ,46 
IN,Indianapolis / Carmel,Marion / Hamilton,,,$98 ,61 
IN,Lafayette / West Lafayette,Tippecanoe,,,$88 ,51 
IN,South Bend,St. Joseph,,,$90 ,56 
KS,Kansas City / Overland Park,Wyandotte / Johnson / Leavenworth,,,$106 ,61 
KS,Wichita,Sedgwick,,,$93 ,56 
KY,Boone,Boone,,,$92 ,51 
KY,Kenton,Kenton,,,$132 ,56 
KY,Lexington,Fayette,,,$97 ,61 
KY,Louisville,Jefferson,1-Oct,31-Jan,$106 ,61 
KY,Louisville,Jefferson,1-Feb,31-May,$121 ,61 
KY,Louisville,Jefferson,1-Jun,30-Sep,$106 ,61 
LA,Alexandria / Leesville / Natchitoches,Allen / Jefferson Davis / Natchitoches / Rapides / Vernon Parishes,,,$86 ,61 
LA,Baton Rouge,East Baton Rouge Parish,,,$94 ,56 
LA,Covington / Slidell,St. Tammany Parish,,,$90 ,56 
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Oct,31-Dec,$154 ,71 
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Jan,30-Jun,$151 ,71 
LA,New Orleans,Orleans / St. Bernard / Jefferson / Plaquemine Parishes,1-Jul,30-Sep,$107 ,71 
MA,Andover,Essex,,,$101 ,56 
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Oct,31-Oct,$258 ,71 
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Nov,31-Mar,$179 ,71 
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Apr,30-Jun,$231 ,71 
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Jul,31-Aug,$210 ,71 
MA,Boston / Cambridge,"Suffolk, city of Cambridge",1-Sep,30-Sep,$258 ,71 
MA,Burlington / Woburn,Middlesex less the city of Cambridge,,,$127 ,71 
MA,Falmouth,City limits of Falmouth,1-Oct,30-Jun,$110 ,51 
MA,Falmouth,City limits of Falmouth,1-Jul,31-Aug,$184 ,51 
MA,Falmouth,City limits of Falmouth,1-Sep,30-Sep,$110 ,51 
MA,Hyannis,Barnstable less the city of Falmouth,1-Oct,30-Jun,$97 ,56 
MA,Hyannis,Barnstable less the city of Falmouth,1-Jul,31-Aug,$157 ,56 
MA,Hyannis,Barnstable less the city of Falmouth,1-Sep,30-Sep,$97 ,56 
MA,Martha's Vineyard,Dukes,1-Oct,30-Jun,$124 ,71 
MA,Martha's Vineyard,Dukes,1-Jul,31-Aug,$265 ,71 
MA,Martha's Vineyard,Dukes,1-Sep,30-Sep,$124 ,71 
MA,Nantucket,Nantucket,1-Oct,31-May,$137 ,61 
MA,Nantucket,Nantucket,1-Jun,30-Sep,$289 ,61 
MA,Northampton,Hampshire,,,$106 ,56 
MA,Pittsfield,Berkshire,,,$122 ,61 
MA,Plymouth / Taunton / New Bedford,Plymouth / Bristol,,,$99 ,56 
MA,Quincy,Norfolk,,,$133 ,51 
MA,Springfield,Hampden,,,$104 ,51 
MA,Worcester,Worcester,,,$106 ,61 
MD,Aberdeen / Bel Air / Belcamp,Harford,,,$94 ,56 
MD,Annapolis,Anne Arundel,1-Oct,31-Oct,$121 ,61 
MD,Annapolis,Anne Arundel,1-Nov,30-Apr,$100 ,61 
MD,Annapolis,Anne Arundel,1-May,30-Sep,$121 ,61 
MD,Baltimore County,Baltimore,,,$98 ,61 
MD,Baltimore City,Baltimore City,1-Oct,30-Nov,$153 ,71 
MD,Baltimore City,Baltimore City,1-Dec,28-Feb,$118 ,71 
MD,Baltimore City,Baltimore City,1-Mar,31-Aug,$150 ,71 
MD,Baltimore City,Baltimore City,1-Sep,30-Sep,$153 ,71 
MD,Cambridge / St. Michaels,Dorchester / Talbot,1-Oct,31-May,$124 ,61 
MD,Cambridge / St. Michaels,Dorchester / Talbot,1-Jun,31-Aug,$170 ,61 
MD,Cambridge / St. Michaels,Dorchester / Talbot,1-Sep,30-Sep,$124 ,61 
MD,Centreville,Queen Anne,1-Oct,31-Oct,$121 ,51 
MD,Centreville,Queen Anne,1-Nov,31-Jan,$105 ,51 
MD,Centreville,Queen Anne,1-Feb,30-Sep,$121 ,51 
MD,Columbia,Howard,,,$102 ,61 
MD,Frederick,Frederick,,,$99 ,56 
MD,Lexington Park / Leonardtown / Lusby,St. Mary's / Calvert,,,$94 ,61 
MD,Ocean City,Worcester,1-Oct,31-May,$85 ,71 
MD,Ocean City,Worcester,1-Jun,31-Aug,$193 ,71 
MD,Ocean City,Worcester,1-Sep,30-Sep,$85 ,71 
ME,Bar Harbor,Hancock,1-Oct,31-Oct,$124 ,61 
ME,Bar Harbor,Hancock,1-Nov,31-Mar,$83 ,61 
ME,Bar Harbor,Hancock,1-Apr,30-Jun,$107 ,61 
ME,Bar Harbor,Hancock,1-Jul,31-Aug,$168 ,61 
ME,Bar Harbor,Hancock,1-Sep,30-Sep,$124 ,61 
ME,Kennebunk / Kittery / Sanford,York ,1-Oct,30-Nov,$96 ,56 
ME,Kennebunk / Kittery / Sanford,York ,1-Dec,31-Mar,$83 ,56 
ME,Kennebunk / Kittery / Sanford,York ,1-Apr,30-Jun,$89 ,56 
ME,Kennebunk / Kittery / Sanford,York ,1-Jul,31-Aug,$129 ,56 
ME,Kennebunk / Kittery / Sanford,York ,1-Sep,30-Sep,$96 ,56 
ME,Portland,Cumberland / Sagadahoc,1-Oct,31-Oct,$124 ,56 
ME,Portland,Cumberland / Sagadahoc,1-Nov,30-Jun,$99 ,56 
ME,Portland,Cumberland / Sagadahoc,1-Jul,31-Aug,$142 ,56 
ME,Portland,Cumberland / Sagadahoc,1-Sep,30-Sep,$124 ,56 
ME,Rockport,Knox,1-Oct,30-Jun,$85 ,56 
ME,Rockport,Knox,1-Jul,31-Aug,$108 ,56 
ME,Rockport,Knox,1-Sep,30-Sep,$85 ,56 
MI,Ann Arbor,Washtenaw,,,$105 ,56 
MI,Benton Harbor / St. Joseph / Stevensville,Berrien ,,,$91 ,51 
MI,Detroit,Wayne,,,$109 ,56 
MI,East Lansing / Lansing,Ingham / Eaton,,,$91 ,51 
MI,Grand Rapids,Kent,,,$96 ,51 
MI,Holland,Ottawa,,,$98 ,56 
MI,Kalamazoo / Battle Creek ,Kalamazoo / Calhoun,,,$89 ,51 
MI,Mackinac Island,Mackinac,1-Oct,30-Jun,$83 ,66 
MI,Mackinac Island,Mackinac,1-Jul,31-Aug,$99 ,66 
MI,Mackinac Island,Mackinac,1-Sep,30-Sep,$83 ,66 
MI,Midland,Midland,,,$97 ,46 
MI,Muskegon,Muskegon,1-Oct,31-May,$83 ,46 
MI,Muskegon,Muskegon,1-Jun,31-Aug,$106 ,46 
MI,Muskegon,Muskegon,1-Sep,30-Sep,$83 ,46 
MI,Petoskey,Emmet,1-Oct,30-Jun,$85 ,51 
MI,Petoskey,Emmet,1-Jul,31-Aug,$116 ,51 
MI,Petoskey,Emmet,1-Sep,30-Sep,$85 ,51 
MI,Pontiac / Auburn Hills ,Oakland,,,$96 ,56 
MI,South Haven,Van Buren,1-Oct,31-May,$83 ,56 
MI,South Haven,Van Buren,1-Jun,31-Aug,$104 ,56 
MI,South Haven,Van Buren,1-Sep,30-Sep,$83 ,56 
MI,Traverse City / Leland,Grand Traverse / Leelanau,1-Oct,30-Jun,$88 ,51 
MI,Traverse City / Leland,Grand Traverse / Leelanau,1-Jul,31-Aug,$151 ,51 
MI,Traverse City / Leland,Grand Traverse / Leelanau,1-Sep,30-Sep,$88 ,51 
MN,Duluth,St. Louis,1-Oct,30-Jun,$97 ,56 
MN,Duluth,St. Louis,1-Jul,31-Aug,$125 ,56 
MN,Duluth,St. Louis,1-Sep,30-Sep,$97 ,56 
MN,Eagan / Burnsville / Mendota Heights,Dakota,,,$89 ,56 
MN,Minneapolis / St. Paul,Hennepin / Ramsey,,,$135 ,71 
MN,Rochester,Olmsted,,,$112 ,51 
MO,Kansas City,Jackson / Clay / Cass / Platte,,,$106 ,61 
MO,St. Louis,St. Louis / St. Louis City / St. Charles / Crawford / Franklin / Jefferson / Lincoln / Warren / Washington,,,$115 ,66 
MS,Hattiesburg,Forrest / Lamar,,,$87 ,51 
MS,Oxford,Lafayette,,,$102 ,51 
MS,Southaven,Desoto,,,$96 ,46 
MS,Starkville ,Oktibbeha,,,$98 ,46 
MT,Big Sky / West Yellowstone,Gallatin,1-Oct,31-May,$86 ,61 
MT,Big Sky / West Yellowstone,Gallatin,1-Jun,30-Sep,$125 ,61 
MT,Butte,Silver Bow,,,$88 ,51 
MT,Glendive / Sidney,Dawson / Richland,,,$161 ,56 
MT,Helena,Lewis and Clark,,,$89 ,56 
MT,Missoula / Polson / Kalispell,Missoula / Lake / Flathead,1-Oct,30-Jun,$92 ,51 
MT,Missoula / Polson / Kalispell,Missoula / Lake / Flathead,1-Jul,31-Aug,$128 ,51 
MT,Missoula / Polson / Kalispell,Missoula / Lake / Flathead,1-Sep,30-Sep,$92 ,51 
NC,Asheville ,Buncombe,,,$102 ,51 
NC,Atlantic Beach / Morehead City,Carteret,1-Oct,31-May,$83 ,56 
NC,Atlantic Beach / Morehead City,Carteret,1-Jun,31-Aug,$112 ,56 
NC,Atlantic Beach / Morehead City,Carteret,1-Sep,30-Sep,$83 ,56 
NC,Chapel Hill,Orange,,,$97 ,56 
NC,Charlotte,Mecklenburg,,,$110 ,51 
NC,Durham,Durham,,,$92 ,51 
NC,Fayetteville,Cumberland,,,$99 ,51 
NC,Greensboro,Guilford,1-Oct,31-Oct,$97 ,56 
NC,Greensboro,Guilford,1-Nov,31-Jan,$89 ,56 
